City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
377,guerrero negro,27.9769,-114.0611,21.28,20,1,1.74,MX,2023-02-07 20:37:22
378,ola,59.5833,151.2833,-30.2,86,57,3.97,RU,2023-02-07 20:37:46
379,thunder bay,48.4001,-89.3168,-3.01,54,75,7.2,CA,2023-02-07 20:37:46
380,rundu,-17.9333,19.7667,19.03,91,100,2.25,NA,2023-02-07 20:37:46
381,merauke,-8.4667,140.3333,25.08,91,99,4.37,ID,2023-02-07 20:37:47
382,marathon,44.9,-89.7668,2.97,72,100,8.75,US,2023-02-07 20:37:40
383,high prairie,55.4334,-116.4858,0.7,81,94,2.89,CA,2023-02-07 20:37:47
384,mulchen,-37.7167,-72.2333,32.92,14,0,3.55,CL,2023-02-07 20:37:47
385,atyrau,47.1167,51.8833,-4.99,86,40,12.0,KZ,2023-02-07 20:37:48
386,eenhana,-17.4667,16.3333,22.32,43,99,2.2,NA,2023-02-07 20:37:49
387,sinegorye,62.0788,150.477,-34.62,99,100,0.24,RU,2023-02-07 20:37:49
388,bijapur,16.8333,75.7,24.43,34,100,2.34,IN,2023-02-07 20:37:49
389,mbandaka,0.0487,18.2603,26.88,55,94,1.73,CD,2023-02-07 20:37:50
390,siuna,13.7332,-84.7773,28.9,53,51,4.16,NI,2023-02-07 20:37:50
391,clyde river,70.4692,-68.5914,-33.87,68,40,3.6,CA,2023-02-07 20:37:50
392,krasnovishersk,60.4078,57.082,-16.02,97,100,2.23,RU,2023-02-07 20:37:51
393,yichang,30.7144,111.2847,10.39,84,100,0.14,CN,2023-02-07 20:37:51
394,igarka,67.4667,86.5833,-20.45,100,95,1.6,RU,2023-02-07 20:33:22
395,salym,60.0625,71.4789,-29.96,100,71,1.4,RU,2023-02-07 20:37:51
396,harsud,22.1,76.7333,17.86,31,0,3.11,IN,2023-02-07 20:37:52
397,liverpool,53.4106,-2.9779,7.01,85,75,2.06,GB,2023-02-07 20:37:52
398,fairbanks,64.8378,-147.7164,-14.55,82,75,0.0,US,2023-02-07 20:33:54
399,meulaboh,4.1363,96.1285,23.99,83,100,1.33,ID,2023-02-07 20:37:53
400,urucara,-2.5364,-57.76,28.27,78,97,0.76,BR,2023-02-07 20:37:53
401,buraydah,26.326,43.975,13.25,38,100,2.57,SA,2023-02-07 20:34:52
402,le pont-de-claix,45.1244,5.7064,3.12,71,1,0.52,FR,2023-02-07 20:37:53
403,mgachi,51.05,142.2667,-19.33,98,100,1.57,RU,2023-02-07 20:37:53
404,kommunisticheskiy,61.6789,64.4819,-25.4,100,100,1.99,RU,2023-02-07 20:37:54
405,ascension,30.2169,-90.9001,26.12,57,100,3.09,US,2023-02-07 20:37:54
406,banda aceh,5.5577,95.3222,25.33,84,98,2.78,ID,2023-02-07 20:37:54
407,pouembout,-21.1333,164.9,26.75,83,100,1.17,NC,2023-02-07 20:37:55
408,tevriz,57.509,72.4042,-24.9,100,46,1.57,RU,2023-02-07 20:37:55
409,namatanai,-3.6667,152.4333,26.14,84,100,2.85,PG,2023-02-07 20:37:55
410,harper,4.375,-7.7169,26.57,85,78,3.01,LR,2023-02-07 20:37:56
411,vila,42.0304,-8.1588,2.49,70,14,2.51,PT,2023-02-07 20:37:56
412,santiago del estero,-27.7951,-64.2615,40.1,17,5,3.38,AR,2023-02-07 20:37:56
413,hamilton,39.1834,-84.5333,13.35,78,100,4.12,US,2023-02-07 20:37:57
414,luderitz,-26.6481,15.1594,20.08,77,1,9.13,NA,2023-02-07 20:37:57
415,kungurtug,50.5994,97.5228,-25.36,98,26,0.82,RU,2023-02-07 20:37:57
416,dingle,10.9995,122.6711,22.76,95,100,3.15,PH,2023-02-07 20:36:14
417,kawalu,-7.3817,108.2082,22.35,95,100,0.98,ID,2023-02-07 20:37:58
418,maniitsoq,65.4167,-52.9,-19.08,91,97,4.0,GL,2023-02-07 20:37:58
419,gondar,12.6,37.4667,15.88,43,7,2.36,ET,2023-02-07 20:37:58
420,kemijarvi,66.7131,27.4306,-2.21,87,47,3.82,FI,2023-02-07 20:37:59
421,batemans bay,-35.7167,150.1833,18.94,92,98,1.81,AU,2023-02-07 20:37:59
422,nacala,-14.5428,40.6728,24.67,91,100,3.38,MZ,2023-02-07 20:37:59
423,vao,-22.6667,167.4833,26.2,71,53,4.85,NC,2023-02-07 20:37:20
424,turukhansk,65.8167,87.9833,-15.23,96,100,3.01,RU,2023-02-07 20:37:38
425,zomba,-15.386,35.3188,18.56,96,100,1.12,MW,2023-02-07 20:38:00
426,lanzhou,36.0564,103.7922,-0.45,82,100,3.24,CN,2023-02-07 20:38:00
427,willowmore,-33.2926,23.4895,18.6,70,100,5.13,ZA,2023-02-07 20:38:00
428,mount isa,-20.7333,139.5,25.87,94,100,2.06,AU,2023-02-07 20:38:01
429,opuwo,-18.0607,13.84,20.76,50,100,3.76,NA,2023-02-07 20:38:01
430,sitka,57.0531,-135.33,2.94,81,75,1.54,US,2023-02-07 20:37:43
431,la asuncion,11.0333,-63.8628,25.42,79,97,7.72,VE,2023-02-07 20:37:50
432,luganville,-15.5333,167.1667,26.32,77,100,0.37,VU,2023-02-07 20:38:03
433,limni,38.7667,23.3167,4.24,62,98,5.43,GR,2023-02-07 20:38:04
434,zhaotong,27.3167,103.7167,3.26,85,83,1.79,CN,2023-02-07 20:38:05
435,filingue,14.3521,3.3168,26.38,12,88,3.92,NE,2023-02-07 20:38:06
436,hvide sande,56.0045,8.1294,3.94,90,99,6.43,DK,2023-02-07 20:38:06
